week, date, day, number-1, number-2, number-3, number-4, number-5, euro-number-1, euro-number-2, jackpot, win-class-1-winners, win-class-1-euro, win-class-2-winners,win-class-2-euro, win-class-3-winners,win-class-3-euro, win-class-4-winners, win-class-4-euro, win-class-5-winners, win-class-5-euro, win-class-6-winners, win-class-6-euro, win-class-7-winners, win-class-7-euro, win-class-8-winners, win-class-8-euro, win-class-9-winners, win-class-9-euro, win-class-10-winners, win-class-10-euro, win-class-11-winners, win-class-11-euro, win-class-12-winners, win-class-12-euro
36.,04/09/,FR,12 ,23 ,46 ,41 ,37 ,3,7,"31,948,566.00  ",1  x   ,"38,878,827.50  ",4  x   ,"367,408.50  ",1  x   ,"367,408.50  ",76  x   ,"2,101.80  ",633  x   ,227.10  ,918  x   ,121.80  ,"2,807  x   ",34.10  ,"39,444  x   ",15.20  ,"27,312  x   ",15.20  ,"42,002  x   ",15.20  ,"205,792  x   ",7.10  ,"393,320  x   ",7.10
37.,11/09/,FR,31 ,30 ,7 ,22 ,27 ,7,5,"23,842,288.00  ",0  x   ,unbesetzt,4  x   ,"253,324.30  ",3  x   ,"119,211.40  ",35  x   ,"3,406.00  ",516  x   ,207.90  ,676  x   ,123.40  ,"1,650  x   ",43.30  ,"25,802  x   ",15.30  ,"22,658  x   ",15.30  ,"32,156  x   ",15.30  ,"125,366  x   ",7.40  ,"328,167  x   ",6.90
38.,18/09/,FR,3 ,48 ,41 ,13 ,7 ,1,7,"24,152,196.00  ",0  x   ,unbesetzt,3  x   ,"342,156.10  ",2  x   ,"181,141.40  ",29  x   ,"4,164.10  ",524  x   ,207.40  ,754  x   ,112.10  ,"1,589  x   ",45.50  ,"20,829  x   ",17.90  ,"25,182  x   ",14.30  ,"37,423  x   ",13.80  ,"100,480  x   ",9.30  ,"328,891  x   ",7.00
39.,25/09/,FR,5 ,13 ,3 ,16 ,30 ,6,3,"24,953,240.00  ",0  x   ,unbesetzt,1  x   ,"1,060,512.70  ",1  x   ,"374,298.60  ",53  x   ,"2,354.00  ",611  x   ,183.70  ,870  x   ,100.30  ,"2,069  x   ",36.10  ,"28,534  x   ",13.80  ,"26,539  x   ",13.80  ,"38,628  x   ",13.80  ,"135,051  x   ",7.20  ,"349,262  x   ",6.80
40.,02/10/,FR,39 ,7 ,9 ,28 ,47 ,8,2,"27,249,886.00  ",0  x   ,unbesetzt,4  x   ,"289,530.00  ",8  x   ,"51,093.50  ",52  x   ,"2,620.10  ",704  x   ,174.10  ,"1,148  x   ",83.00  ,"2,393  x   ",34.10  ,"30,555  x   ",14.70  ,"25,730  x   ",14.70  ,"44,341  x   ",13.20  ,"147,159  x   ",7.20  ,"359,405  x   ",7.20
41.,09/10/,FR,26 ,23 ,14 ,31 ,13 ,3,9,"30,485,170.00  ",1  x   ,"31,579,233.10  ",1  x   ,"1,295,619.70  ",4  x   ,"114,319.30  ",34  x   ,"4,483.10  ",534  x   ,256.80  ,923  x   ,115.50  ,"1,743  x   ",52.40  ,"26,828  x   ",17.60  ,"26,850  x   ",17.00  ,"46,078  x   ",14.20  ,"133,195  x   ",8.90  ,"391,180  x   ",7.40
42.,16/10/,FR,38 ,11 ,19 ,42 ,46 ,3,9,"23,960,620.00  ",0  x   ,unbesetzt,1  x   ,"1,018,326.30  ",3  x   ,"119,803.10  ",47  x   ,"2,549.00  ",461  x   ,233.80  ,819  x   ,102.30  ,"1,312  x   ",54.70  ,"18,031  x   ",20.50  ,"18,775  x   ",19.10  ,"33,518  x   ",15.30  ,"98,478  x   ",9.40  ,"269,394  x   ",8.40
43.,23/10/,FR,16 ,36 ,34 ,49 ,18 ,8,6,"24,387,394.00  ",0  x   ,unbesetzt,3  x   ,"345,488.00  ",4  x   ,"91,452.70  ",21  x   ,"5,806.50  ",488  x   ,224.80  ,761  x   ,112.10  ,"1,224  x   ",59.70  ,"17,017  x   ",22.20  ,"20,254  x   ",18.00  ,"32,506  x   ",16.10  ,"89,198  x   ",10.60  ,"288,896  x   ",8.00
44.,30/10/,FR,5 ,15 ,16 ,37 ,36 ,5,3,"26,274,446.00  ",0  x   ,unbesetzt,1  x   ,"1,116,663.90  ",5  x   ,"78,823.30  ",39  x   ,"3,368.50  ",483  x   ,244.70  ,725  x   ,126.80  ,"1,642  x   ",48.00  ,"25,847  x   ",17.00  ,"21,830  x   ",17.00  ,"32,290  x   ",17.00  ,"132,468  x   ",7.70  ,"345,700  x   ",7.20
45.,06/11/,FR,22 ,24 ,4 ,2 ,8 ,3,9,"28,460,128.00  ",0  x   ,unbesetzt,6  x   ,"201,592.50  ",16  x   ,"26,681.30  ",44  x   ,"3,234.10  ",736  x   ,174.00  ,"1,746  x   ",57.00  ,"1,848  x   ",46.20  ,"23,884  x   ",18.40  ,"27,138  x   ",15.70  ,"55,078  x   ",11.10  ,"119,590  x   ",9.20  ,"357,412  x   ",7.60
46.,13/11/,FR,23 ,49 ,27 ,19 ,26 ,10,3,"33,082,452.00  ",1  x   ,"32,657,956.90  ",1  x   ,"1,406,004.20  ",5  x   ,"99,247.30  ",24  x   ,"6,892.10  ",534  x   ,278.70  ,963  x   ,120.20  ,"1,298  x   ",76.40  ,"18,474  x   ",27.70  ,"26,881  x   ",18.40  ,"50,840  x   ",13.90  ,"97,968  x   ",13.10  ,"396,986  x   ",7.90
47.,20/11/,FR,1 ,36 ,31 ,18 ,20 ,5,9,"23,927,640.00  ",0  x   ,unbesetzt,1  x   ,"1,016,924.70  ",5  x   ,"71,782.90  ",18  x   ,"6,646.50  ",293  x   ,367.40  ,581  x   ,144.10  ,897  x   ,80.00  ,"14,557  x   ",25.40  ,"15,999  x   ",22.40  ,"29,710  x   ",17.30  ,"80,250  x   ",11.60  ,"250,606  x   ",9.10
48.,27/11/,FR,2 ,26 ,49 ,13 ,7 ,3,4,"24,157,688.00  ",0  x   ,unbesetzt,2  x   ,"513,350.80  ",6  x   ,"60,394.20  ",33  x   ,"3,660.20  ",716  x   ,151.80  ,"1,062  x   ",79.60  ,"1,391  x   ",52.10  ,"19,218  x   ",19.40  ,"29,042  x   ",12.70  ,"40,151  x   ",12.70  ,"94,490  x   ",9.90  ,"369,145  x   ",6.20
49.,04/12/,FR,16 ,34 ,14 ,26 ,38 ,8,2,"25,989,302.00  ",0  x   ,unbesetzt,5  x   ,"220,909.00  ",4  x   ,"97,459.80  ",60  x   ,"2,165.70  ",696  x   ,168.00  ,"1,113  x   ",81.70  ,"2,015  x   ",38.60  ,"25,306  x   ",16.00  ,"24,171  x   ",16.00  ,"40,492  x   ",13.70  ,"131,807  x   ",7.70  ,"317,347  x   ",7.70
50.,11/12/,FR,36 ,37 ,49 ,39 ,34 ,10,8,"28,026,736.00  ",0  x   ,unbesetzt,1  x   ,"1,191,136.20  ",4  x   ,"105,100.20  ",11  x   ,"12,739.40  ",440  x   ,286.60  ,777  x   ,126.20  ,988  x   ,85.10  ,"13,257  x   ",32.70  ,"18,827  x   ",22.30  ,"36,318  x   ",16.50  ,"70,366  x   ",15.50  ,"278,326  x   ",9.60
51.,18/12/,FR,11 ,27 ,19 ,32 ,42 ,9,5,"31,865,424.00  ",0  x   ,unbesetzt,3  x   ,"451,426.80  ",6  x   ,"79,663.50  ",58  x   ,"2,747.00  ",775  x   ,185.00  ,"1,264  x   ",88.20  ,"1,863  x   ",51.30  ,"23,795  x   ",20.70  ,"29,614  x   ",16.10  ,"51,741  x   ",13.20  ,"117,673  x   ",10.50  ,"392,264  x   ",7.70
52.,25/12/,FR,8 ,36 ,33 ,34 ,9 ,9,3,"33,988,758.00  ",0  x   ,unbesetzt,3  x   ,"481,507.40  ",3  x   ,"169,943.70  ",35  x   ,"4,855.50  ",525  x   ,291.30  ,964  x   ,123.40  ,"1,867  x   ",54.60  ,"32,091  x   ",17.70  ,"26,164  x   ",17.70  ,"43,990  x   ",16.60  ,"165,066  x   ",8.00  ,"421,684  x   ",7.60
53.,01/01/,FR,14 ,35 ,45 ,11 ,44 ,5,6,"39,856,408.00  ",1  x   ,"49,685,851.50  ",4  x   ,"423,474.30  ",2  x   ,"298,923.00  ",44  x   ,"4,529.10  ",618  x   ,290.20  ,"1,012  x   ",137.80  ,"1,946  x   ",61.40  ,"28,874  x   ",21.30  ,"30,216  x   ",19.70  ,"50,290  x   ",17.00  ,"154,105  x   ",10.00  ,"470,848  x   ",8.00
